Zones,Total,Ser,Minor,VKT,LN_PO,P_YP,P_INC1,P_Cycle,P_Res,P_Coma,Index,Trams,T_Sig,Bus,Schol,Speed
POA3043,202,63,137,6.3976,9.761,20.594,43.028,0.57,46.11,23.431,0.6862,0,48,71,5,60.3306
POA3044,166,48,113,5.3592,10.103,22.85,39.536,1.997,87.1848,1.1641,0.2879,9,23,99,6,49.8492
POA3045,78,25,50,4.5175,4.956,17.606,30,0,12.8971,0.3625,0.3989,0,7,4,0,74.6296
POA3046,172,58,113,4.9529,10.335,22.19,48.92,0.843,65.2405,3.1071,0.5575,0,16,139,10,48.3117
POA3047,242,58,180,5.172,9.852,28.988,62.626,0.645,47.056,27.9139,0.7135,0,41,130,13,47.6824
POA3048,81,26,52,4.2912,9.804,32.534,56.562,0.34,60.6545,5.5164,0.5983,0,9,104,4,56.129
POA3049,26,9,17,4.1529,9.081,23.95,34.509,0.285,31.4228,20.413,0.7352,0,7,42,1,53.6842
POA3051,121,42,79,4.5734,9.372,15.125,39.637,7.54,64.8118,4.3977,0.5661,34,29,16,4,53.0337
POA3052,118,41,76,4.5197,8.45,11.77,29.939,10.088,19.6008,4.6051,0.6869,27,18,19,3,50.1887
POA3053,196,59,135,4.4672,9.511,12.347,50.701,7.96,68.1838,13.83,0.5236,19,35,37,3,48.1333
POA3054,118,32,85,2.9172,9.024,13.139,28.525,15.996,56.0548,2.1095,0.4603,20,11,19,3,46.9811
POA3055,92,25,67,4.0504,9.484,15.971,39.785,8.375,85.7993,2.246,0.3096,20,12,55,3,44.3182
POA3056,310,87,221,4.1549,10.033,13.688,34.175,13.929,65.5161,11.6401,0.5566,36,25,84,4,42.1404
POA3057,87,24,62,3.2621,9.045,13.815,34.585,13.517,66.9406,6.5696,0.5366,19,11,31,3,42.8986
POA3058,284,71,211,5.0829,10.359,20.447,40.034,5.931,61.5065,3.4337,0.625,40,45,148,12,44.8485
POA3059,40,10,30,3.4989,9.39,28.841,23.442,0.078,31.8933,2.0565,0.4846,0,5,52,2,61.9565
POA3060,76,26,49,4.7834,9.441,24.786,55.553,0.988,73.0577,3.5518,0.4761,0,9,78,6,46.6667
POA3061,153,53,99,5.3823,8.606,26.962,60.998,0.638,10.7259,5.6633,0.4361,0,16,44,1,57.9661
POA3062,25,11,14,3.0845,1.099,0,0,0,0,3.0431,0.2142,0,5,10,0,70.4762
POA3063,35,14,20,4.5912,6.521,22.68,34.969,0,1.8324,5.9651,0.169,0,2,5,3,70.7143
POA3064,232,72,156,5.6209,10.881,33.163,33.203,0.14,16.2477,4.9417,0.4246,0,21,166,14,57.037
POA3065,156,47,109,3.6908,9.152,13.807,36.886,11.32,67.5006,28.1216,0.4181,29,15,14,3,40.8392
POA3066,126,45,81,4.3889,8.774,15.479,41.663,11.21,48.1979,23.6136,0.666,8,22,12,3,42.6984
POA3067,116,29,85,3.2631,8.498,12.9,28.774,9.614,32.026,24.8448,0.8251,7,22,15,2,42.8571
POA3068,254,86,167,5.0778,9.757,16.326,29.04,15.16,70.2512,5.7602,0.4579,32,35,57,8,46.8812
POA3070,161,47,112,4.5325,10.04,19.603,32.584,12.017,76.9694,5.8255,0.4545,29,33,81,6,46.7516
POA3071,105,37,65,4.0131,9.766,18.297,39.36,8.238,71.6618,3.4897,0.5171,19,16,61,8,45.8904
POA3072,349,92,256,5.5285,10.306,20.341,43.008,4.329,66.0013,8.0725,0.5969,41,58,158,10,48.1873
POA3073,246,63,181,5.2192,10.771,19.649,50.233,1.471,75.9865,4.4208,0.4854,12,30,324,14,47.7737
POA3074,201,56,142,6.2376,9.92,21.543,53.939,0.302,42.3058,6.7583,0.7211,0,48,114,9,55.5856
POA3075,121,37,79,4.9266,9.897,22.814,53.111,0.298,52.7492,2.9848,0.5992,0,13,81,8,50.8553
POA3076,182,50,130,4.9854,10.179,26.759,37.149,0.146,41.8711,4.9091,0.6685,0,24,129,9,50.4461
POA3078,106,31,75,4.3039,9.264,21.348,33,8.326,42.4399,3.125,0.745,0,15,63,4,50.3205
POA3079,69,16,50,4.3967,9.606,23.653,29.611,2.892,71.5803,2.0918,0.48,0,18,71,7,47.2381
POA3081,76,28,48,4.7207,9.506,21.919,51.614,1.985,62.1645,2.9838,0.6462,0,18,104,2,52.2018
POA3082,98,33,62,4.6959,10.326,25.585,33.659,0.292,69.3157,9.1818,0.5473,0,13,152,6,53.0189
POA3083,161,43,117,5.2256,10.242,20.199,41.57,0.674,51.6991,2.5893,0.7397,24,33,108,9,54.9296
POA3084,212,52,160,4.8824,10.097,22.285,32.457,1.462,66.7602,2.1917,0.532,0,31,100,10,51.9333
POA3085,50,18,31,3.2458,9.528,23.426,34.08,1.611,53.2203,1.0398,0.6653,0,7,56,3,47.9688
POA3086,20,6,14,2.4751,6.911,12.662,0,0,0,0.2094,0.4203,3,4,21,0,57.6
POA3087,41,11,30,4.401,9.103,22.373,38.411,0.692,84.8678,1.8002,0.3043,0,9,52,3,52.0968
POA3088,115,22,92,5.2002,10.184,23.416,31.733,0.481,80.3111,2.9088,0.4177,0,25,123,11,50.9694
POA3089,47,18,29,4.2387,9.35,28.503,23.125,0.304,93.4561,1.08,0.1686,0,7,24,4,55
POA3090,17,3,14,2.1962,7.646,31.39,19.549,0,72.3506,2.5451,0.368,0,0,18,0,53
POA3091,25,4,21,3.0815,7.32,27.881,24.679,0,80.8193,0.065,0.3249,0,1,17,2,65.2083
POA3093,7,2,4,4.6178,8.238,21.338,32.397,0.672,66.2278,1.3019,0.3929,0,5,13,1,55.1724
POA3094,20,5,14,2.2099,9.078,22.799,34.3,0.825,85.0138,2.1785,0.3386,0,2,29,4,47.3077
POA3095,98,27,69,4.7254,10.227,27.194,23.863,0.611,83.3958,1.5404,0.3543,0,11,88,11,50.6075
POA3096,10,4,6,3.0849,7.574,29.085,26.733,0.372,97.0678,0,0.0816,0,0,0,1,58.9474
POA3097,22,6,15,3.9935,7.166,28.494,29.076,0.638,74.1919,2.1807,0.3427,0,0,11,1,63.1081
POA3099,29,11,16,4.1003,8.492,26.138,29.63,0.293,34.7102,0.1134,0.3646,0,1,0,4,61.1333
POA3101,184,53,128,5.7052,10.081,22.022,23.364,2.965,73.2765,3.2174,0.4053,47,36,76,11,48.3333
POA3102,24,10,14,4.6777,8.702,25.794,27.691,2.31,49.4121,2.3609,0.6269,9,7,28,3,53.3962
POA3103,96,30,66,4.5586,9.637,23.403,32.727,1.185,90.1979,3.1515,0.2214,21,18,38,6,47.2632
POA3104,114,31,83,5.6004,9.919,25.885,28.816,0.992,80.4474,1.3133,0.337,13,22,98,7,50.597
POA3105,56,21,34,4.9399,9.294,20.068,41.17,0.393,57.7879,1.3904,0.5748,0,10,56,3,55.5385
POA3106,57,20,35,4.8446,9.71,21.56,27.76,0.211,63.6942,1.4147,0.5109,0,9,115,3,61.2903
POA3107,52,17,35,3.5488,9.484,20.111,35.583,0.395,78.7535,1.8461,0.395,0,11,63,4,52.7273
POA3108,141,43,97,5.4867,9.818,18.404,40.404,0.456,82.4236,3.8952,0.3597,0,23,106,4,55.1613
POA3109,116,41,74,5.4362,10.205,21.733,36.931,0.37,84.1471,4.3491,0.3458,0,19,142,6,52.3729
POA3111,40,13,26,5.3252,9.375,22.952,30.937,0.306,89.3693,0.5892,0.2385,0,6,55,5,60.8411
POA3113,51,17,34,4.3434,9.045,28.303,22.661,0.342,71.0231,0.6955,0.3525,0,3,76,3,56.5385
POA3114,8,3,5,3.118,8.221,28.752,21.206,0,90.7698,1.1494,0.2108,0,0,24,2,54.8276
POA3115,20,7,13,4.0261,8.251,28.255,17.129,0.239,57.6323,0.574,0.3862,0,0,30,1,60.3226
POA3116,50,12,38,4.1466,9.119,23.912,34.03,0.105,29.5981,1.6136,0.4505,0,6,50,2,62.0988
POA3121,384,113,268,5.58,10.17,12.982,29.563,6.245,50.3523,18.6789,0.7477,69,56,11,6,43.494
POA3122,148,57,90,4.8821,9.961,17.203,29.053,3.303,70.9821,8.3994,0.5318,52,27,17,7,46.7045
POA3123,70,24,46,4.561,9.481,19.653,26.646,2.829,74.3644,11.9905,0.4601,21,25,18,5,45.3285
POA3124,158,40,118,5.1125,9.905,24.09,24.833,2.157,85.7563,4.6152,0.2968,58,27,57,4,46.8421
POA3125,113,24,89,4.9755,9.485,19.837,43.446,0.902,64.4834,2.4636,0.6211,22,23,61,5,49.5
POA3126,57,21,36,2.2198,8.969,24.004,23.474,1.765,88.9623,3.0747,0.2511,7,11,20,5,44.7
POA3127,92,29,61,4.4676,9.803,24.772,26.689,1.517,89.0986,3.7691,0.2516,17,19,61,5,49.6939
POA3128,134,41,92,4.4925,9.762,19.476,42.188,1.158,67.3236,6.9844,0.591,4,27,142,5,48.1061
POA3129,66,17,49,4.0069,9.684,22.668,38.206,1.257,84.3743,0.689,0.3222,0,10,86,5,50.4545
POA3130,158,46,111,4.9548,10.322,23.766,36.973,1.114,79.0473,3.5985,0.4511,0,29,169,11,50.8268
POA3131,159,40,118,5.5442,9.952,22.142,42,0.67,76.631,8.8479,0.4402,1,25,122,4,52.9452
POA3132,79,23,53,4.3116,9.603,23.118,34.877,0.855,74.4104,4.4726,0.5039,0,16,91,5,53.6667
POA3133,100,30,67,4.6622,9.967,22.875,34.331,0.676,74.1218,2.4452,0.5012,4,15,98,9,51.1268
POA3134,223,62,159,5.937,10.345,24.527,35.906,0.435,79.0127,4.0884,0.4448,0,40,202,12,53.2986
POA3135,143,46,94,4.648,9.852,23.065,37.696,0.81,83.3338,1.6548,0.3633,0,23,54,7,53.2075
POA3136,221,66,153,5.3773,10.62,23.46,39.324,0.453,78.774,3.1929,0.4399,0,30,207,13,53.0736
POA3137,66,19,47,4.6473,9.48,24.786,41.362,0.52,73.124,2.1381,0.4382,0,11,81,4,57.6147
POA3138,87,23,63,3.206,9.937,25.985,35.257,0.289,85.4097,3.0032,0.3296,0,9,67,10,51.4557
POA3139,132,56,73,5.8091,9.514,28.01,39.268,0.217,48.3919,1.2948,0.4071,0,4,50,8,67.7062
POA3140,117,31,86,5.1607,9.658,25.631,38.895,0.47,67.4046,5.8141,0.572,0,13,105,8,57.4286
POA3141,223,50,171,4.5633,9.859,10.562,26.683,4.767,59.6689,12.1286,0.6131,43,32,34,6,44.3949
POA3142,104,29,75,4.1728,9.463,15.143,24.657,2.421,90.9018,1.869,0.2226,32,18,23,4,47.5806
POA3143,61,13,48,4.2674,9.078,16.336,28.559,2.123,82.8988,9.003,0.3289,41,12,22,2,48.3582
POA3144,116,27,89,4.9005,9.24,22.026,24.152,1.966,83.4726,5.004,0.3363,41,21,8,4,49.3151
POA3145,213,55,157,5.8362,9.967,22.849,30.174,1.867,67.6389,5.7556,0.5251,17,42,97,6,54.1489
POA3146,215,54,160,5.3063,10.125,23.777,25.094,2.481,82.7604,2.1313,0.3497,35,48,55,6,54.2675
POA3147,70,24,46,3.4501,9.521,24.54,35.989,2.782,77.3513,2.8406,0.4374,0,12,56,7,44.3846
POA3148,77,20,57,5.0453,8.965,18.156,40.331,1.013,89.596,2.8101,0.2241,0,12,34,2,54.2
POA3149,161,44,114,6.2368,10.376,21.458,37.18,1.082,78.4717,10.827,0.3965,0,40,121,10,52.4891
POA3150,346,79,261,6.5552,10.973,21.508,35.754,0.567,75.1813,3.4355,0.4783,0,40,279,21,50.5932
POA3151,65,17,45,2.9767,9.224,18.341,42.579,0.658,71.4984,9.9725,0.5262,13,10,52,5,59.7059
POA3152,187,50,135,6.2566,10.349,21.51,34.306,0.428,56.6873,6.3094,0.6313,0,36,176,12,60.2162
POA3153,162,37,123,5.3086,9.886,22.21,41.256,0.701,53.0262,3.1233,0.5837,0,26,132,6,56.0588
POA3154,21,8,13,3.7174,8.35,25.443,31.356,0.161,76.6248,1.2897,0.4014,0,2,15,3,54.3182
